is_null,symbol,tf,arm,kind,end_dir,rev_R,mfe_rev_atr,mae_atr,sagitta_atr,depth_atr,a_norm,arc_gain,r2_quad,L,apex_pos,mtf_up,regime,year
0,BTCUSDT,1h,2021-12-05T10:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,3.421,3.521,4.43,16.63,0.017494,0.356,0.851,45,0.64,1,-1,2021
0,BTCUSDT,1h,2021-12-15T12:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,5.166,4.631,3.08,8.84,0.005827,0.597,0.803,65,0.57,0,-1,2021
0,BTCUSDT,1h,2021-12-19T00:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,3.139,7.565,1.92,10.07,0.003633,0.23,0.865,65,0.72,1,-1,2021
0,BTCUSDT,1h,2021-12-23T09:00:00+00:00,ROUNDING_TOP,DOWN,1.0,9.255,0.446,2.56,8.65,-0.004846,0.512,0.85,65,0.6,1,-1,2021
0,BTCUSDT,1h,2021-12-23T21:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,0.948,1.563,1.64,6.42,0.032845,0.26,0.915,20,0.3,3,-1,2021
0,BTCUSDT,1h,2021-12-24T09:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,1.624,2.641,2.04,8.23,-0.040754,0.256,0.865,20,0.7,3,-1,2021
0,BTCUSDT,1h,2021-12-28T03:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.0,5.39,1.62,4.45,-0.032314,0.72,0.879,20,0.45,2,-1,2021
0,BTCUSDT,1h,2022-01-06T17:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,5.843,1.405,2.14,9.98,0.019042,0.156,0.901,30,0.8,0,-1,2022
0,BTCUSDT,1h,2022-01-21T07:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.246,6.805,1.86,6.43,-0.016501,0.386,0.835,30,0.37,0,-1,2022
0,BTCUSDT,1h,2022-01-23T21:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,5.243,6.806,2.41,10.29,0.004571,0.217,0.879,65,0.72,1,-1,2022
0,BTCUSDT,1h,2022-02-03T09:00:00+00:00,ROUNDING_TOP,DOWN,1.0,16.78,1.156,1.82,7.9,-0.003444,0.274,0.851,65,0.31,1,-1,2022
